"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","79.37.47.139","192.168.0.2","TCP","54","50385  >  23 [SYN] Seq=0 Win=54467 Len=0"
"2","0.001589","192.168.0.2","79.37.47.139","TCP","58","23  >  50385 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"3","0.214454","79.37.47.139","192.168.0.2","TCP","54","50385  >  23 [RST] Seq=1 Win=0 Len=0"
"4","6.034728","79.37.47.139","192.168.0.2","TCP","74","45122  >  23 [SYN] Seq=0 Win=5808 Len=0 MSS=1452 SACK_PERM TSval=10787916 TSecr=0 WS=2"
"5","6.036685","192.168.0.2","79.37.47.139","TCP","74","23  >  45122 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=29200 TSecr=10787916 WS=16"
"6","6.251040","79.37.47.139","192.168.0.2","TCP","66","45122  >  23 [ACK] Seq=1 Ack=1 Win=5808 Len=0 TSval=10788119 TSecr=29200"
"7","6.254150","192.168.0.2","79.37.47.139","TELNET","78","Telnet Data ..."
"8","6.467134","79.37.47.139","192.168.0.2","TCP","66","45122  >  23 [ACK] Seq=1 Ack=13 Win=5808 Len=0 TSval=10788338 TSecr=29221"
"9","6.467587","192.168.0.2","79.37.47.139","TELNET","84","Telnet Data ..."
"10","6.681949","79.37.47.139","192.168.0.2","TCP","66","45122  >  23 [ACK] Seq=1 Ack=31 Win=5808 Len=0 TSval=10788551 TSecr=29243"
"11","24.537885","84.196.158.177","192.168.0.2","TCP","54","11786  >  23 [SYN] Seq=0 Win=7740 Len=0"
"12","24.539415","192.168.0.2","84.196.158.177","TCP","58","23  >  11786 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"13","24.636906","84.196.158.177","192.168.0.2","TCP","54","11786  >  23 [RST] Seq=1 Win=0 Len=0"
"14","24.700361","84.196.158.177","192.168.0.2","TCP","74","39556  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=9204065 TSecr=0 WS=2"
"15","24.700893","192.168.0.2","84.196.158.177","TCP","74","23  >  39556 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=31066 TSecr=9204065 WS=16"
